date,platform,campaign_name,ad_set,country,impressions,reach,clicks,likes,comments,shares,conversions,ad_spend,revenue,CTR,Engagement rate,ROI
06-06-2022,Instagram,Festive Sale,Professionals,India,4083,9363,1692,316,366,244,353,395.27,3500.84,41.44%,22.68%,785.68%
06-06-2022,Facebook,Brand Awareness,Adults,Australia,24205,17927,1511,273,106,635,239,595.75,1773.07,6.24%,4.19%,197.62%
06-06-2022,Facebook,Festive Sale,Adults,Australia,27128,35267,3355,1321,276,738,415,764.06,3661.95,12.37%,8.61%,379.28%
06-06-2022,Instagram,Lead Generation,Youth,UK,16138,33673,1069,2953,51,623,404,434.28,1933.85,6.62%,22.47%,345.30%
07-06-2022,Instagram,Brand Awareness,Youth,Canada,14865,12971,675,592,438,463,387,83.59,1512.12,4.54%,10.04%,1708.97%
08-06-2022,Facebook,Festive Sale,Youth,India,43256,24180,4874,938,193,434,99,929.66,3357.88,11.27%,3.62%,261.19%
08-06-2022,Instagram,Lead Generation,Students,UK,23223,17419,4779,2859,292,462,494,53.13,4613.14,20.58%,15.56%,8582.74%
08-06-2022,Facebook,Brand Awareness,Adults,Australia,5951,39731,3177,1028,115,778,416,585.69,4003.59,53.39%,32.28%,583.57%
10-06-2022,Facebook,Product Launch,Students,UK,24474,38266,379,83,118,335,470,83.22,59.27,1.55%,2.19%,-28.78%
10-06-2022,Facebook,Product Launch,Youth,Canada,42311,14088,3010,1695,110,785,154,713.04,280.85,7.11%,6.12%,-60.61%
10-06-2022,Instagram,Brand Awareness,Students,USA,27636,5857,4064,256,123,179,184,364.14,4375.41,14.71%,2.02%,1101.57%
10-06-2022,Instagram,Brand Awareness,Youth,Australia,38011,2751,1439,2659,127,449,364,23.52,1839.32,3.79%,8.51%,7720.24%
11-06-2022,Instagram,Lead Generation,Youth,UK,8037,31533,3047,978,362,399,131,408.94,3073.21,37.91%,21.64%,651.51%
12-06-2022,Instagram,Lead Generation,Youth,UK,30631,13826,3181,1520,174,269,253,660.06,4809.82,10.38%,6.41%,628.69%
14-06-2022,Facebook,Product Launch,Professionals,India,25354,28985,3225,2873,256,119,31,843.83,3785.68,12.72%,12.81%,348.63%
16-06-2022,Facebook,Lead Generation,Professionals,India,46178,15367,4789,428,55,421,199,685.65,3945.93,10.37%,1.96%,475.50%
16-06-2022,Instagram,Lead Generation,Adults,USA,47098,29219,4405,857,379,423,475,617.15,4154.97,9.35%,3.52%,573.25%
18-06-2022,Instagram,Brand Awareness,Adults,Australia,20773,23983,2939,604,177,56,213,383.77,3577.26,14.15%,4.03%,832.14%
19-06-2022,Facebook,Product Launch,Adults,USA,3831,16185,4638,458,220,452,450,585.53,1272.24,121.06%,29.50%,117.28%
20-06-2022,Instagram,Brand Awareness,Adults,Canada,32186,12153,2372,1213,245,664,377,47.11,2735.11,7.37%,6.59%,5705.79%
21-06-2022,Facebook,Product Launch,Youth,USA,25920,27556,2417,206,488,171,359,62.81,3479.9,9.32%,3.34%,5440.36%
21-06-2022,Facebook,Festive Sale,Youth,Canada,41166,26562,284,2658,305,763,229,578.69,250.48,0.69%,9.05%,-56.72%
28-06-2022,Instagram,Product Launch,Youth,Canada,45370,10136,3860,601,351,755,218,358.31,4886.87,8.51%,3.76%,1263.87%
29-06-2022,Facebook,Festive Sale,Students,India,16689,1150,594,781,396,497,289,130.3,3223.54,3.56%,10.03%,2373.94%
29-06-2022,Facebook,Brand Awareness,Students,Australia,27870,22904,2556,2709,9,83,50,761.34,1921.87,9.17%,10.05%,152.43%
30-06-2022,Facebook,Brand Awareness,Youth,USA,38711,21412,2682,352,490,388,42,776.97,1224.71,6.93%,3.18%,57.63%
30-06-2022,Facebook,Product Launch,Youth,Canada,36089,32434,1791,407,15,513,62,218.93,3845.22,4.96%,2.59%,1656.37%
30-06-2022,Instagram,Product Launch,Youth,Australia,2299,13190,3084,802,111,534,358,299.91,1171,134.15%,62.94%,290.45%
30-06-2022,Instagram,Lead Generation,Adults,UK,23785,35292,914,656,326,350,395,291.95,4416.95,3.84%,5.60%,1412.91%
01-07-2022,Facebook,Brand Awareness,Students,UK,22709,7013,3106,2706,66,723,416,58.8,4472.04,13.68%,15.39%,7505.51%
01-07-2022,Facebook,Brand Awareness,Youth,USA,47024,20587,4698,2159,203,95,414,803.9,976.53,9.99%,5.22%,21.47%
01-07-2022,Instagram,Product Launch,Students,Canada,4491,34543,2390,926,163,565,483,891.52,596.98,53.22%,36.83%,-33.04%
03-07-2022,Instagram,Product Launch,Professionals,Canada,41635,30345,3521,2943,401,67,18,922.91,3423.6,8.46%,8.19%,270.96%
03-07-2022,Facebook,Product Launch,Students,India,8194,25206,1909,1975,449,579,194,600.7,1231.57,23.30%,36.65%,105.02%
04-07-2022,Instagram,Brand Awareness,Students,India,9646,1634,3794,190,357,337,480,59.64,3923.09,39.33%,9.16%,6477.95%
06-07-2022,Instagram,Brand Awareness,Students,Australia,7358,12867,2513,1811,475,283,333,406.65,379.13,34.15%,34.91%,-6.77%
06-07-2022,Facebook,Product Launch,Professionals,UK,48914,24983,3013,2994,0,197,160,631.9,1285.92,6.16%,6.52%,103.50%
08-07-2022,Instagram,Lead Generation,Adults,UK,37790,27653,1778,2117,34,422,13,84.57,3488.31,4.70%,6.81%,4024.76%
11-07-2022,Instagram,Lead Generation,Adults,Australia,32692,37464,3624,2949,121,384,129,586.89,4447.74,11.09%,10.57%,657.85%
11-07-2022,Instagram,Product Launch,Adults,India,9949,14596,119,1249,175,428,478,306.07,4496.48,1.20%,18.61%,1369.10%
15-07-2022,Facebook,Lead Generation,Youth,Australia,26783,24315,4527,1951,401,173,84,950.78,938.67,16.90%,9.43%,-1.27%
15-07-2022,Instagram,Brand Awareness,Adults,Canada,26279,16591,167,2399,489,151,409,150.41,3488.63,0.64%,11.56%,2219.41%
15-07-2022,Facebook,Festive Sale,Youth,Canada,10582,31208,2773,2887,356,280,330,94.52,4784.67,26.20%,33.29%,4962.07%
18-07-2022,Facebook,Lead Generation,Professionals,UK,35949,12614,833,1903,165,355,342,109.69,3548.14,2.32%,6.74%,3134.70%
18-07-2022,Facebook,Festive Sale,Adults,Australia,40683,37204,2202,651,108,692,40,598.16,3190.48,5.41%,3.57%,433.38%
19-07-2022,Instagram,Lead Generation,Youth,Canada,19300,22375,1126,1680,46,567,496,238.63,1139.64,5.83%,11.88%,377.58%
20-07-2022,Facebook,Brand Awareness,Youth,USA,23559,17739,2636,993,158,717,420,507.37,4580.5,11.19%,7.93%,802.79%
20-07-2022,Facebook,Brand Awareness,Youth,USA,47330,1537,1555,416,341,376,10,80.99,1916.12,3.29%,2.39%,2265.87%
21-07-2022,Facebook,Lead Generation,Youth,Australia,15175,11689,4023,2525,391,181,498,347.51,1874.95,26.51%,20.41%,439.54%
21-07-2022,Instagram,Product Launch,Students,India,17195,39146,1681,677,486,335,51,604.12,3003.86,9.78%,8.71%,397.23%
24-07-2022,Instagram,Product Launch,Students,USA,12357,35999,3320,2749,108,55,328,697.33,3746.51,26.87%,23.57%,437.26%
24-07-2022,Instagram,Lead Generation,Adults,USA,29307,10995,1593,589,252,185,297,730.82,1214.86,5.44%,3.50%,66.23%
24-07-2022,Facebook,Brand Awareness,Youth,UK,43719,11103,1804,2990,106,517,28,979.46,2983.66,4.13%,8.26%,204.62%
25-07-2022,Facebook,Festive Sale,Professionals,Australia,37307,33271,1976,1422,217,558,493,307.59,1568.01,5.30%,5.89%,409.77%
27-07-2022,Facebook,Product Launch,Adults,India,27183,2153,4146,753,375,442,83,794.33,676.31,15.25%,5.78%,-14.86%
28-07-2022,Instagram,Festive Sale,Adults,Canada,39285,16238,1749,520,462,42,460,181.8,704.8,4.45%,2.61%,287.68%
29-07-2022,Instagram,Lead Generation,Students,Australia,20506,39390,3019,224,88,262,475,84.52,2349.47,14.72%,2.80%,2679.78%
29-07-2022,Facebook,Product Launch,Professionals,Australia,12211,33537,2943,408,179,609,158,887.67,397.47,24.10%,9.79%,-55.22%
30-07-2022,Facebook,Product Launch,Adults,Australia,16881,26793,730,1120,309,751,143,387.3,4975.51,4.32%,12.91%,1184.67%
30-07-2022,Facebook,Brand Awareness,Youth,Australia,30670,6873,3176,2406,107,679,287,303.12,3869.17,10.36%,10.41%,1176.45%
30-07-2022,Facebook,Brand Awareness,Professionals,Canada,47015,4185,4358,1325,66,72,291,607.61,2835.71,9.27%,3.11%,366.70%
01-08-2022,Instagram,Product Launch,Students,USA,24065,9789,3188,595,435,762,468,193.75,4801.64,13.25%,7.45%,2378.27%
01-08-2022,Facebook,Festive Sale,Students,Australia,43907,30201,3474,540,457,197,394,955.86,372.43,7.91%,2.72%,-61.04%
03-08-2022,Facebook,Brand Awareness,Youth,India,7523,17454,2090,2377,92,270,261,340.9,4762.69,27.78%,36.41%,1297.09%
04-08-2022,Facebook,Festive Sale,Professionals,Australia,12703,12525,670,900,20,178,387,51.73,4806.54,5.27%,8.64%,9191.59%
04-08-2022,Instagram,Product Launch,Youth,Canada,13716,25030,2843,705,415,716,132,382.39,1822.83,20.73%,13.39%,376.69%
05-08-2022,Facebook,Brand Awareness,Professionals,UK,44459,20441,327,794,369,608,36,140.26,3001.01,0.74%,3.98%,2039.61%
05-08-2022,Facebook,Festive Sale,Professionals,UK,14515,37701,3578,2656,149,269,446,189.68,2175.25,24.65%,21.18%,1046.80%
05-08-2022,Facebook,Brand Awareness,Students,Australia,19799,25629,3294,362,464,335,1,727.54,4822.52,16.64%,5.86%,562.85%
05-08-2022,Facebook,Festive Sale,Professionals,Australia,10484,30177,4706,489,13,585,452,48.58,362.22,44.89%,10.37%,645.62%
07-08-2022,Instagram,Lead Generation,Professionals,UK,4666,15492,436,1574,404,465,384,619.94,368.66,9.34%,52.36%,-40.53%
08-08-2022,Facebook,Lead Generation,Youth,UK,41387,34149,4234,2021,486,190,253,822.47,3925.77,10.23%,6.52%,377.31%
08-08-2022,Instagram,Festive Sale,Professionals,India,34477,16554,2967,2428,94,248,263,757.59,4681.49,8.61%,8.03%,517.95%
11-08-2022,Instagram,Festive Sale,Adults,India,28586,34235,2534,1619,77,153,205,225.55,414.41,8.86%,6.47%,83.73%
12-08-2022,Instagram,Lead Generation,Youth,Australia,26343,26492,4349,1935,452,503,29,63.99,4106.22,16.51%,10.97%,6316.97%
12-08-2022,Instagram,Product Launch,Professionals,Canada,24851,4785,4404,2889,132,185,255,351.94,2581.06,17.72%,12.90%,633.38%
12-08-2022,Instagram,Lead Generation,Youth,Canada,9061,37537,1412,657,397,168,268,93.11,4190.77,15.58%,13.49%,4400.88%
13-08-2022,Instagram,Brand Awareness,Youth,India,16366,20363,4288,2562,433,681,489,416.93,3199.92,26.20%,22.46%,667.50%
14-08-2022,Facebook,Brand Awareness,Youth,USA,49629,28128,2923,1387,460,101,223,214.08,209.47,5.89%,3.93%,-2.15%
16-08-2022,Instagram,Brand Awareness,Youth,Canada,34757,37190,1713,812,480,558,276,279.36,95.57,4.93%,5.32%,-65.79%
17-08-2022,Facebook,Product Launch,Youth,India,41718,1131,2630,1505,317,483,13,799.27,2483.49,6.30%,5.53%,210.72%
18-08-2022,Instagram,Lead Generation,Youth,India,41544,39147,293,2764,181,309,458,183.47,3429.76,0.71%,7.83%,1769.38%
19-08-2022,Facebook,Festive Sale,Professionals,Australia,4203,5455,513,2448,38,497,412,743.4,2057.33,12.21%,70.97%,176.75%
20-08-2022,Facebook,Brand Awareness,Professionals,UK,22181,29730,1455,351,123,62,18,576.43,4491.16,6.56%,2.42%,679.13%
21-08-2022,Instagram,Lead Generation,Professionals,India,14647,10965,4565,1341,292,767,165,86.87,2000.96,31.17%,16.39%,2203.40%
21-08-2022,Instagram,Lead Generation,Students,USA,18794,16564,576,233,375,179,156,93.83,4932.67,3.06%,4.19%,5157.03%
22-08-2022,Facebook,Lead Generation,Youth,Canada,44965,9896,815,766,433,547,119,49,478.61,1.81%,3.88%,876.76%
22-08-2022,Instagram,Festive Sale,Professionals,UK,3567,21791,4971,2465,109,749,441,21.32,3482.46,139.36%,93.16%,16234.24%
24-08-2022,Instagram,Lead Generation,Adults,India,30140,36651,606,1593,114,15,400,496.16,4826.17,2.01%,5.71%,872.70%
25-08-2022,Instagram,Brand Awareness,Adults,India,29311,36454,288,1569,378,599,347,859.01,1226.23,0.98%,8.69%,42.75%
25-08-2022,Facebook,Brand Awareness,Youth,India,14439,29554,2436,641,473,255,142,672.21,3577.39,16.87%,9.48%,432.18%
26-08-2022,Facebook,Festive Sale,Adults,UK,9177,34877,2600,2497,223,440,59,978.67,3172.24,28.33%,34.43%,224.14%
28-08-2022,Instagram,Lead Generation,Professionals,USA,42395,2458,3091,251,495,254,168,268.2,3430.04,7.29%,2.36%,1178.91%
28-08-2022,Facebook,Festive Sale,Students,UK,47598,18415,696,1606,34,634,189,278.77,2177.6,1.46%,4.78%,681.15%
30-08-2022,Facebook,Lead Generation,Adults,UK,13632,23249,1475,2467,246,740,412,607.38,959.51,10.82%,25.33%,57.98%
01-09-2022,Facebook,Product Launch,Youth,UK,27327,3650,762,958,4,35,280,891.41,4255.11,2.79%,3.65%,377.35%
03-09-2022,Facebook,Lead Generation,Adults,Australia,29690,17212,2271,1306,377,571,388,746.33,824.71,7.65%,7.59%,10.50%
03-09-2022,Instagram,Brand Awareness,Youth,India,34122,23912,4058,2487,493,80,152,178.18,3293.4,11.89%,8.97%,1748.36%
04-09-2022,Facebook,Festive Sale,Youth,Australia,19252,9387,3180,2101,237,148,254,982.66,4585.54,16.52%,12.91%,366.65%
05-09-2022,Instagram,Lead Generation,Professionals,Australia,14569,18509,942,1924,376,15,58,566.66,4902.59,6.47%,15.89%,765.17%
05-09-2022,Instagram,Lead Generation,Students,India,23834,9617,2614,2332,432,240,443,843.79,1415.82,10.97%,12.60%,67.79%
07-09-2022,Facebook,Festive Sale,Youth,USA,9446,21394,2423,2621,323,672,286,180.5,1403.25,25.65%,38.28%,677.42%
08-09-2022,Instagram,Festive Sale,Students,UK,29229,14833,62,2521,359,693,208,660.16,1728.19,0.21%,12.22%,161.78%
08-09-2022,Instagram,Festive Sale,Students,Canada,5567,28408,3172,2137,68,110,10,346.32,2491.84,56.98%,41.58%,619.52%
09-09-2022,Facebook,Festive Sale,Professionals,Australia,4057,29005,1088,529,145,794,371,73.55,2196.04,26.82%,36.18%,2885.78%
10-09-2022,Facebook,Festive Sale,Adults,USA,9320,23560,2228,2312,383,554,195,552.64,3306,23.91%,34.86%,498.22%
11-09-2022,Instagram,Lead Generation,Professionals,India,12695,13192,3788,28,431,742,12,268.52,2815.47,29.84%,9.46%,948.51%
12-09-2022,Facebook,Brand Awareness,Youth,India,12468,35831,4875,2587,356,374,352,269.36,1032.08,39.10%,26.60%,283.16%
15-09-2022,Instagram,Festive Sale,Professionals,Canada,18107,21623,1243,2083,180,689,477,862.25,2246.78,6.86%,16.30%,160.57%
15-09-2022,Instagram,Festive Sale,Professionals,Australia,31935,28709,3189,2083,454,219,245,357.71,1596.9,9.99%,8.63%,346.42%
16-09-2022,Facebook,Lead Generation,Professionals,UK,16859,9191,4676,771,148,402,293,490.71,2846,27.74%,7.84%,479.98%
20-09-2022,Instagram,Brand Awareness,Adults,Canada,11875,2341,706,572,236,746,152,988.51,3162.86,5.95%,13.09%,219.96%
20-09-2022,Instagram,Brand Awareness,Youth,Australia,24004,25782,101,2907,320,325,376,944.78,4478.6,0.42%,14.80%,374.04%
25-09-2022,Instagram,Brand Awareness,Students,USA,28223,8577,3470,562,286,226,56,387.76,946.2,12.29%,3.81%,144.02%
25-09-2022,Instagram,Product Launch,Professionals,UK,33335,15967,3466,154,263,271,389,762.95,898.99,10.40%,2.06%,17.83%
27-09-2022,Facebook,Product Launch,Students,Australia,20583,1567,1473,748,187,347,330,987.04,4271.01,7.16%,6.23%,332.71%
27-09-2022,Instagram,Brand Awareness,Students,India,6840,13466,920,2398,36,464,320,878.08,2330.29,13.45%,42.37%,165.38%
27-09-2022,Facebook,Festive Sale,Youth,Canada,5654,29540,3458,2284,348,721,247,745.3,308.32,61.16%,59.30%,-58.63%
29-09-2022,Facebook,Lead Generation,Professionals,UK,30769,12032,1883,425,456,392,52,850.1,1414.86,6.12%,4.14%,66.43%
01-10-2022,Facebook,Festive Sale,Professionals,Canada,44000,27439,4727,1297,207,164,178,51.62,2849.42,10.74%,3.79%,5419.99%
01-10-2022,Instagram,Brand Awareness,Youth,USA,9802,6411,1825,606,140,287,308,500.55,2570.11,18.62%,10.54%,413.46%
01-10-2022,Instagram,Brand Awareness,Students,Australia,42081,22052,3315,1351,72,328,115,423.28,2378.64,7.88%,4.16%,461.95%
01-10-2022,Instagram,Festive Sale,Youth,India,5150,27382,769,2818,7,273,54,400.66,3214.98,14.93%,60.16%,702.42%
03-10-2022,Facebook,Product Launch,Youth,Australia,24122,13458,730,1387,277,668,287,349.46,3531.54,3.03%,9.67%,910.57%
03-10-2022,Facebook,Brand Awareness,Professionals,India,42515,25090,4883,2314,90,373,407,609.47,4449.14,11.49%,6.53%,630.00%
03-10-2022,Facebook,Festive Sale,Professionals,USA,1363,29095,4761,2582,210,657,190,565.5,4110.71,349.30%,253.04%,626.92%
04-10-2022,Facebook,Product Launch,Youth,UK,43543,4941,4057,176,150,396,108,469.62,4980.16,9.32%,1.66%,960.47%
04-10-2022,Facebook,Lead Generation,Students,Canada,1215,22200,1556,641,406,556,440,728.71,2728.1,128.07%,131.93%,274.37%
04-10-2022,Instagram,Product Launch,Professionals,India,40288,27355,4834,958,357,721,195,409.98,1122.95,12.00%,5.05%,173.90%
04-10-2022,Instagram,Festive Sale,Professionals,Canada,17698,3779,1759,1456,336,474,260,660.09,4094.78,9.94%,12.80%,520.34%
05-10-2022,Facebook,Product Launch,Adults,UK,23813,34515,1394,2921,272,28,343,403.98,910.3,5.85%,13.53%,125.33%
05-10-2022,Facebook,Product Launch,Youth,Canada,44790,8046,465,471,59,378,385,129.93,1231.71,1.04%,2.03%,847.98%
09-10-2022,Instagram,Brand Awareness,Professionals,UK,9243,2268,4534,277,123,676,158,760.55,1521.85,49.05%,11.64%,100.10%
11-10-2022,Facebook,Lead Generation,Youth,Canada,25014,39488,477,2154,215,529,295,521.49,1851.21,1.91%,11.59%,254.98%
14-10-2022,Instagram,Product Launch,Adults,UK,20581,24716,2579,792,355,704,300,986.32,4767.58,12.53%,8.99%,383.37%
14-10-2022,Instagram,Brand Awareness,Youth,India,10219,24185,3087,696,116,350,458,379.57,614.87,30.21%,11.37%,61.99%
15-10-2022,Instagram,Lead Generation,Youth,Canada,42115,36524,1262,2848,261,29,17,462.41,4633.74,3.00%,7.45%,902.08%
16-10-2022,Facebook,Product Launch,Youth,Australia,39762,21425,4643,1810,334,294,63,276.66,2511.37,11.68%,6.13%,807.75%
16-10-2022,Instagram,Lead Generation,Students,UK,31519,39689,4368,2173,407,645,98,756.98,3845.15,13.86%,10.23%,407.96%
18-10-2022,Instagram,Brand Awareness,Adults,Australia,5598,23175,4308,1796,70,257,109,669.64,3381.4,76.96%,37.92%,404.96%
19-10-2022,Instagram,Product Launch,Adults,India,30777,13289,4848,803,374,12,278,110.14,3610.38,15.75%,3.86%,3177.99%
20-10-2022,Facebook,Festive Sale,Professionals,India,42821,22402,82,2752,442,671,386,550.11,3470.06,0.19%,9.03%,530.79%
20-10-2022,Instagram,Product Launch,Professionals,India,9055,35006,1647,2977,335,582,149,874.31,1255.1,18.19%,43.00%,43.55%
22-10-2022,Instagram,Brand Awareness,Youth,UK,31024,27773,4159,670,11,555,270,631.42,3211.76,13.41%,3.98%,408.66%
22-10-2022,Instagram,Lead Generation,Professionals,India,7858,30480,2308,2641,114,483,261,168.34,552.78,29.37%,41.21%,228.37%
24-10-2022,Instagram,Product Launch,Professionals,Canada,15271,30232,2867,2227,213,23,308,69.84,4313.75,18.77%,16.13%,6076.62%
24-10-2022,Instagram,Lead Generation,Students,USA,40779,10015,510,1470,459,27,12,122.42,3322.08,1.25%,4.80%,2613.67%
24-10-2022,Instagram,Brand Awareness,Youth,Canada,28594,24814,4141,1827,104,605,8,464.18,242.72,14.48%,8.87%,-47.71%
26-10-2022,Facebook,Festive Sale,Adults,India,15390,14694,3562,1973,117,440,155,225.62,552.71,23.14%,16.44%,144.97%
26-10-2022,Facebook,Lead Generation,Students,UK,49625,13377,3002,1593,278,104,329,805.71,2951.3,6.05%,3.98%,266.30%
28-10-2022,Facebook,Product Launch,Adults,India,46826,6466,1006,199,342,621,316,41.8,1223.88,2.15%,2.48%,2827.94%
28-10-2022,Facebook,Brand Awareness,Youth,India,36693,37763,3704,1126,208,470,162,369.99,1106.57,10.09%,4.92%,199.08%
28-10-2022,Instagram,Product Launch,Professionals,India,43317,29797,4989,884,394,460,335,383.05,3875.38,11.52%,4.01%,911.72%
29-10-2022,Facebook,Lead Generation,Students,Australia,14386,4120,1778,106,461,319,203,365.6,1350.93,12.36%,6.16%,269.51%
29-10-2022,Facebook,Product Launch,Students,India,43429,2186,2589,302,437,569,190,121.48,416.89,5.96%,3.01%,243.18%
30-10-2022,Instagram,Lead Generation,Youth,UK,42401,23059,1637,1626,303,272,80,247.09,903.64,3.86%,5.19%,265.71%
31-10-2022,Facebook,Product Launch,Professionals,Canada,49128,2824,1124,1313,194,428,178,434.46,2781.17,2.29%,3.94%,540.14%
01-11-2022,Facebook,Festive Sale,Youth,UK,32898,39353,1662,328,450,15,271,326.45,3286.31,5.05%,2.41%,906.68%
01-11-2022,Facebook,Brand Awareness,Professionals,UK,46337,5456,4553,669,213,71,122,338.37,3828.74,9.83%,2.06%,1031.52%
02-11-2022,Facebook,Product Launch,Adults,Australia,34635,1867,4631,2359,352,518,299,748.96,2860.74,13.37%,9.32%,281.96%
02-11-2022,Instagram,Festive Sale,Youth,USA,40044,12841,3768,399,90,263,484,802.32,4917.13,9.41%,1.88%,512.86%
03-11-2022,Facebook,Product Launch,Adults,UK,27627,29327,4100,1573,53,531,483,320.27,1261.81,14.84%,7.81%,293.98%
04-11-2022,Instagram,Product Launch,Youth,UK,23738,33250,277,2936,283,492,445,183.86,2155.51,1.17%,15.63%,1072.36%
05-11-2022,Facebook,Brand Awareness,Students,USA,28912,39349,1942,1435,44,235,464,182.61,112.58,6.72%,5.93%,-38.35%
08-11-2022,Instagram,Lead Generation,Youth,USA,47041,21546,1334,2616,430,496,69,983.41,2787.06,2.84%,7.53%,183.41%
09-11-2022,Instagram,Brand Awareness,Professionals,UK,34798,14360,717,1670,264,171,262,885.84,2089.2,2.06%,6.05%,135.84%
10-11-2022,Instagram,Brand Awareness,Youth,UK,41157,28667,2235,217,351,617,59,998.76,666.27,5.43%,2.88%,-33.29%
10-11-2022,Instagram,Brand Awareness,Professionals,UK,25746,23563,4809,1558,94,723,454,537.87,2112.52,18.68%,9.22%,292.76%
10-11-2022,Facebook,Product Launch,Adults,UK,45924,22377,4612,999,468,551,110,461.54,1304.86,10.04%,4.39%,182.72%
10-11-2022,Instagram,Lead Generation,Students,Canada,2070,21982,2068,1046,423,44,142,67.47,3266.46,99.90%,73.09%,4741.35%
11-11-2022,Facebook,Brand Awareness,Professionals,UK,5922,1526,4988,1254,357,500,21,378.14,4578.65,84.23%,35.65%,1110.83%
12-11-2022,Facebook,Brand Awareness,Professionals,India,28856,19891,4861,674,272,760,334,574.68,2767.25,16.85%,5.91%,381.53%
14-11-2022,Facebook,Brand Awareness,Professionals,USA,7008,31354,4571,1684,412,392,106,839.95,1044.21,65.23%,35.50%,24.32%
15-11-2022,Instagram,Festive Sale,Youth,India,31761,17788,1113,1996,417,218,305,63.87,4144.39,3.50%,8.28%,6388.79%
16-11-2022,Instagram,Product Launch,Professionals,Canada,16804,2382,795,1067,246,272,360,569.64,3357.77,4.73%,9.43%,489.45%
16-11-2022,Instagram,Lead Generation,Adults,USA,21698,14122,682,2474,484,5,16,684.7,3959.07,3.14%,13.66%,478.22%
17-11-2022,Instagram,Brand Awareness,Adults,Canada,47032,26302,3738,1379,228,444,493,780.61,1584.58,7.95%,4.36%,102.99%
17-11-2022,Facebook,Lead Generation,Students,Canada,18517,32626,1088,494,439,568,252,20.92,4209.79,5.88%,8.11%,20023.28%
17-11-2022,Facebook,Lead Generation,Youth,Australia,34324,29053,140,2855,104,524,148,616.03,97.31,0.41%,10.15%,-84.20%
18-11-2022,Instagram,Product Launch,Youth,UK,36929,2706,3359,1369,394,438,337,849.14,3666.19,9.10%,5.96%,331.75%
18-11-2022,Instagram,Festive Sale,Adults,UK,31831,23584,3624,1988,5,619,201,110.11,3745.51,11.39%,8.21%,3301.61%
25-11-2022,Instagram,Festive Sale,Youth,Canada,12283,39031,1910,1488,241,605,382,682.88,95.75,15.55%,19.00%,-85.98%
25-11-2022,Instagram,Brand Awareness,Youth,Australia,3064,10577,2640,712,20,311,410,668.55,3909.19,86.16%,34.04%,484.73%
26-11-2022,Facebook,Lead Generation,Students,Canada,12397,6449,2025,740,106,213,41,600.18,2973.74,16.33%,8.54%,395.47%
27-11-2022,Instagram,Festive Sale,Professionals,UK,47279,18131,4331,341,475,665,245,343.34,2683.99,9.16%,3.13%,681.73%
27-11-2022,Facebook,Brand Awareness,Youth,Canada,21308,19349,1544,1953,80,309,87,663.13,684.27,7.25%,10.99%,3.19%
29-11-2022,Instagram,Festive Sale,Youth,Canada,47097,31847,3403,2607,125,332,30,164.36,3509.98,7.23%,6.51%,2035.54%
29-11-2022,Instagram,Festive Sale,Students,Australia,40236,2526,4235,588,211,665,425,917.88,825.34,10.53%,3.64%,-10.08%
01-12-2022,Facebook,Lead Generation,Adults,Australia,2515,38526,3792,1468,18,735,429,391.86,909.51,150.78%,88.31%,132.10%
01-12-2022,Instagram,Product Launch,Adults,Canada,7571,19408,4772,1996,313,553,369,212.03,1480.34,63.03%,37.80%,598.17%
02-12-2022,Facebook,Brand Awareness,Adults,Canada,35305,25820,4375,1084,442,38,383,48.85,495.43,12.39%,4.43%,914.19%
03-12-2022,Instagram,Product Launch,Professionals,Canada,21085,22844,1490,2495,483,468,406,122.91,3324.13,7.07%,16.34%,2604.52%
04-12-2022,Facebook,Lead Generation,Students,Canada,42214,27641,3231,2764,229,525,162,831.84,610.44,7.65%,8.33%,-26.62%
04-12-2022,Facebook,Brand Awareness,Adults,Australia,4985,18540,739,184,365,620,67,584.37,3853.41,14.82%,23.45%,559.41%
05-12-2022,Instagram,Lead Generation,Professionals,Canada,11570,38277,4442,1760,263,277,95,730.02,503.61,38.39%,19.88%,-31.01%
05-12-2022,Instagram,Product Launch,Youth,UK,34941,5512,1211,1381,217,633,492,546.23,647.65,3.47%,6.39%,18.57%
05-12-2022,Instagram,Brand Awareness,Youth,India,32416,30365,3592,977,328,332,247,284.6,3511.93,11.08%,5.05%,1133.99%
08-12-2022,Facebook,Lead Generation,Students,UK,43224,37513,2602,845,249,143,103,998.57,4084.29,6.02%,2.86%,309.01%
09-12-2022,Facebook,Product Launch,Adults,Canada,10265,37633,3966,1645,376,33,483,414.76,4636.18,38.64%,20.01%,1017.80%
09-12-2022,Instagram,Festive Sale,Youth,India,38394,15391,4215,2746,232,45,215,304.11,3434.47,10.98%,7.87%,1029.35%
09-12-2022,Instagram,Product Launch,Adults,USA,45264,10546,1634,2825,95,456,374,162.43,399.14,3.61%,7.46%,145.73%
10-12-2022,Facebook,Product Launch,Students,Canada,45066,31525,3402,1701,486,45,318,46.52,1135.87,7.55%,4.95%,2341.68%
11-12-2022,Instagram,Product Launch,Youth,UK,39106,36112,531,1592,354,163,331,13.71,90.1,1.36%,5.39%,557.18%
12-12-2022,Instagram,Festive Sale,Adults,India,25518,37654,3485,1514,120,40,314,365.57,1557,13.66%,6.56%,325.91%
13-12-2022,Facebook,Brand Awareness,Students,India,8242,27997,3386,1826,295,168,102,328.14,4163.87,41.08%,27.77%,1168.93%
